consultation_id,user_id,lawyer_id,category,consultation_date,consultation_price,platform_commission,paid
1,33,41,Divorce,2025-10-04,149,37.25,1
2,1997,4,Immigration,2025-01-20,133,33.25,1
3,1986,26,Divorce,2025-01-27,51,12.75,1
4,223,35,Labor,2025-06-07,78,19.5,1
5,2178,37,Criminal,2025-10-30,134,33.5,1
6,188,27,Divorce,2025-09-14,133,33.25,1
7,2651,70,Real Estate,2025-04-26,69,17.25,0
8,1551,19,Labor,2025-04-17,110,27.5,1
9,763,44,Contracts,2025-10-08,168,42.0,1
10,2119,48,Divorce,2025-06-19,76,19.0,1
11,2072,32,Real Estate,2025-11-01,78,19.5,1
12,2182,7,Criminal,2025-06-21,157,39.25,0
13,2573,28,Criminal,2025-01-21,123,30.75,1
14,1758,4,Real Estate,2025-02-20,176,44.0,1
15,1013,16,Criminal,2025-12-28,105,26.25,0
16,1615,45,Labor,2025-08-02,77,19.25,0
17,236,46,Real Estate,2025-08-22,144,36.0,1
18,2632,17,Real Estate,2025-01-25,125,31.25,1
19,1353,50,Contracts,2025-06-04,187,46.75,1
20,1719,19,Labor,2025-05-02,100,25.0,1
21,1178,28,Divorce,2025-03-05,102,25.5,1
22,2586,28,Immigration,2025-02-22,183,45.75,1
23,2326,80,Labor,2025-11-18,52,13.0,1
24,76,45,Real Estate,2025-03-01,158,39.5,1
25,673,12,Divorce,2025-03-19,130,32.5,0
26,2336,48,Real Estate,2025-12-19,76,19.0,1
27,199,42,Contracts,2025-07-10,116,29.0,1
28,1365,13,Real Estate,2025-06-20,106,26.5,1
29,1730,42,Immigration,2025-02-07,159,39.75,1
30,737,4,Immigration,2025-07-03,90,22.5,1
31,799,19,Divorce,2025-03-12,107,26.75,1
32,2282,29,Labor,2025-03-15,164,41.0,1
33,1938,19,Immigration,2025-03-01,187,46.75,1
34,2798,70,Criminal,2025-08-26,131,32.75,1
35,665,43,Real Estate,2025-10-24,142,35.5,1
36,2143,17,Divorce,2025-02-16,189,47.25,1
37,1541,10,Divorce,2025-09-30,147,36.75,1
38,28,10,Contracts,2025-04-24,193,48.25,1
39,2632,47,Divorce,2025-11-02,158,39.5,1
40,308,9,Immigration,2025-09-04,59,14.75,1
41,134,46,Immigration,2025-08-27,165,41.25,1
42,2834,68,Contracts,2025-05-27,68,17.0,1
43,2543,4,Contracts,2025-05-09,149,37.25,1
44,2686,59,Criminal,2025-08-15,88,22.0,1
45,1041,25,Real Estate,2025-10-28,81,20.25,1
46,895,62,Contracts,2025-08-20,158,39.5,1
47,1328,56,Immigration,2025-07-03,66,16.5,1
48,2795,58,Contracts,2025-12-01,143,35.75,1
49,2620,53,Criminal,2025-01-09,109,27.25,1
50,87,57,Divorce,2025-12-12,176,44.0,1
51,393,32,Divorce,2025-03-27,157,39.25,1
52,199,55,Real Estate,2025-11-23,105,26.25,0
53,2837,64,Criminal,2025-10-02,135,33.75,1
54,1965,45,Criminal,2025-06-24,75,18.75,1
55,1019,32,Immigration,2025-02-01,61,15.25,1
56,2586,44,Contracts,2025-09-21,66,16.5,1
57,2178,13,Real Estate,2025-01-27,119,29.75,1
58,1692,4,Criminal,2025-11-14,113,28.25,1
59,243,72,Contracts,2025-07-11,79,19.75,1
60,2306,80,Divorce,2026-01-01,170,42.5,1
61,2304,40,Immigration,2026-01-01,150,37.5,1
62,178,74,Divorce,2025-06-26,62,15.5,1
63,1167,36,Contracts,2025-05-04,144,36.0,1
64,1101,80,Contracts,2025-10-07,96,24.0,1
65,931,15,Divorce,2025-04-29,153,38.25,0
66,337,64,Divorce,2025-07-01,112,28.0,1
67,1836,44,Contracts,2025-02-04,100,25.0,0
68,1807,16,Labor,2025-03-09,172,43.0,1
69,587,66,Criminal,2025-09-01,189,47.25,1
70,487,24,Contracts,2025-10-03,166,41.5,1
71,1400,57,Labor,2025-09-30,53,13.25,0
72,1871,35,Real Estate,2025-02-15,140,35.0,1
73,2009,6,Real Estate,2025-03-31,181,45.25,1
74,2137,18,Contracts,2025-04-18,118,29.5,1
75,2441,44,Immigration,2025-06-05,170,42.5,1
76,432,55,Labor,2025-08-08,167,41.75,1
77,1630,1,Criminal,2025-06-30,168,42.0,1
78,1872,72,Real Estate,2025-06-21,139,34.75,1
79,2202,30,Divorce,2025-11-04,112,28.0,1
80,1704,53,Criminal,2025-10-21,112,28.0,1
81,659,33,Labor,2025-05-17,131,32.75,1
82,2781,6,Real Estate,2025-08-26,86,21.5,1
83,2432,33,Criminal,2025-03-28,52,13.0,0
84,2709,18,Immigration,2025-03-28,148,37.0,1
85,1339,44,Labor,2025-03-20,146,36.5,1
86,659,13,Contracts,2025-10-25,156,39.0,1
87,184,22,Contracts,2025-03-08,125,31.25,1
88,1204,54,Contracts,2025-07-12,141,35.25,1
89,1324,2,Immigration,2025-04-09,78,19.5,1
90,2145,57,Divorce,2025-10-18,57,14.25,1
91,336,34,Divorce,2025-01-22,136,34.0,1
92,1465,44,Immigration,2025-12-12,88,22.0,1
93,623,69,Criminal,2025-10-06,190,47.5,1
94,2804,20,Real Estate,2025-03-18,61,15.25,1
95,943,15,Contracts,2025-01-05,98,24.5,1
96,1165,35,Labor,2025-09-17,142,35.5,1
97,1934,57,Criminal,2025-05-29,121,30.25,1
98,887,66,Labor,2025-12-12,105,26.25,1
99,298,14,Criminal,2025-02-27,101,25.25,1
100,909,76,Real Estate,2025-03-14,175,43.75,1
101,1366,22,Real Estate,2025-12-16,137,34.25,1
102,2014,10,Real Estate,2025-01-15,161,40.25,1
103,1653,9,Contracts,2025-04-28,69,17.25,1
104,2308,30,Divorce,2025-11-29,134,33.5,1
105,198,20,Labor,2025-07-04,125,31.25,1
106,132,72,Labor,2025-08-12,133,33.25,1
107,1893,51,Criminal,2025-06-09,144,36.0,0
108,1543,25,Contracts,2025-04-24,132,33.0,1
109,1490,23,Real Estate,2025-08-01,59,14.75,1
110,2001,49,Contracts,2025-09-04,62,15.5,1
111,2075,8,Contracts,2025-02-17,104,26.0,1
112,69,56,Divorce,2025-05-22,66,16.5,1
113,557,8,Criminal,2025-08-28,103,25.75,1
114,1736,47,Contracts,2025-04-15,102,25.5,1
115,1015,12,Labor,2025-01-22,85,21.25,1
116,330,5,Divorce,2025-03-25,122,30.5,1
117,341,5,Contracts,2025-09-10,139,34.75,1
118,2633,15,Contracts,2025-05-07,137,34.25,1
119,1990,45,Immigration,2025-11-04,158,39.5,1
120,2766,25,Contracts,2025-07-10,195,48.75,1
121,612,56,Real Estate,2025-10-19,140,35.0,1
122,1690,74,Real Estate,2025-07-06,177,44.25,1
123,717,1,Divorce,2025-03-25,85,21.25,0
124,6,46,Real Estate,2025-08-08,158,39.5,1
125,1723,67,Labor,2025-05-30,152,38.0,1
126,2619,44,Divorce,2025-10-01,56,14.0,1
127,2116,4,Criminal,2025-11-24,151,37.75,1
128,964,24,Divorce,2025-09-23,152,38.0,1
129,2394,28,Immigration,2025-11-04,139,34.75,1
130,934,70,Contracts,2025-05-19,157,39.25,1
131,1384,40,Contracts,2025-12-23,103,25.75,1
132,1372,18,Labor,2025-07-07,141,35.25,1
133,1461,47,Contracts,2025-02-19,121,30.25,1
134,176,37,Real Estate,2025-09-09,160,40.0,1
135,2249,7,Divorce,2025-06-29,174,43.5,1
136,1831,52,Immigration,2025-03-28,87,21.75,1
137,1185,14,Divorce,2025-09-19,101,25.25,1
138,230,55,Contracts,2025-04-11,66,16.5,1
139,1634,57,Immigration,2025-10-17,139,34.75,1
140,1428,62,Immigration,2025-12-28,101,25.25,1
141,2641,16,Immigration,2025-03-01,156,39.0,1
142,332,42,Labor,2025-09-08,134,33.5,1
143,867,44,Criminal,2025-09-28,105,26.25,1
144,375,33,Divorce,2025-03-06,106,26.5,1
145,2050,68,Divorce,2025-12-20,188,47.0,1
146,1822,76,Immigration,2025-03-01,185,46.25,1
147,1257,71,Criminal,2025-02-28,187,46.75,1
148,2235,46,Contracts,2025-01-21,77,19.25,1
149,1299,74,Real Estate,2025-12-07,192,48.0,1
150,2358,67,Contracts,2025-09-22,57,14.25,1
151,207,5,Contracts,2025-01-27,198,49.5,1
152,2464,3,Criminal,2025-01-06,59,14.75,1
153,1023,15,Immigration,2025-02-22,193,48.25,1
154,1316,43,Criminal,2025-11-05,60,15.0,0
155,2702,23,Real Estate,2025-01-20,127,31.75,1
156,432,55,Immigration,2025-02-21,167,41.75,1
157,2693,51,Criminal,2025-06-29,178,44.5,1
158,2470,57,Labor,2025-05-06,75,18.75,1
159,1520,79,Labor,2025-02-23,152,38.0,1
160,2843,52,Immigration,2025-01-12,76,19.0,1
161,903,39,Immigration,2025-01-08,50,12.5,1
162,1821,11,Real Estate,2025-02-22,136,34.0,1
163,1318,56,Real Estate,2025-09-17,166,41.5,1
164,2725,6,Divorce,2025-07-11,74,18.5,1
165,2656,50,Labor,2025-12-13,72,18.0,1
166,2556,64,Labor,2025-07-30,169,42.25,1
167,2180,5,Divorce,2025-06-13,85,21.25,1
168,2026,43,Immigration,2025-08-28,124,31.0,1
169,875,54,Divorce,2025-09-27,99,24.75,1
170,2183,65,Labor,2025-06-02,75,18.75,1
171,1326,52,Divorce,2025-01-21,158,39.5,1
172,790,65,Contracts,2025-02-16,158,39.5,0
173,2947,14,Contracts,2025-05-27,93,23.25,0
174,2674,74,Divorce,2025-08-24,53,13.25,1
175,466,61,Contracts,2025-11-06,186,46.5,1
176,1466,58,Immigration,2025-12-18,89,22.25,1
177,27,63,Immigration,2025-08-18,114,28.5,1
178,2509,70,Criminal,2025-12-15,196,49.0,1
179,1724,42,Immigration,2025-06-26,146,36.5,1
180,1814,35,Real Estate,2025-04-14,180,45.0,1
181,701,66,Real Estate,2025-11-05,65,16.25,1
182,1150,25,Divorce,2025-07-31,192,48.0,1
183,1224,35,Divorce,2025-08-06,147,36.75,1
184,2669,32,Divorce,2025-12-13,170,42.5,1
185,989,7,Labor,2025-07-31,123,30.75,1
186,1486,2,Labor,2025-09-19,66,16.5,1
