lawyer_id,specialization,rating,years_experience,hourly_rate
1,Divorce,3.0,14,178
2,Divorce,3.97,24,155
3,Real Estate,4.78,11,132
4,Criminal,4.29,7,81
5,Criminal,4.16,21,67
6,Real Estate,4.77,10,162
7,Contracts,4.26,11,63
8,Divorce,3.46,15,175
9,Divorce,3.7,19,145
10,Real Estate,4.47,16,157
11,Real Estate,4.27,22,92
12,Contracts,4.88,21,171
13,Immigration,4.01,20,139
14,Criminal,4.18,12,44
15,Labor,3.95,18,88
16,Immigration,4.09,23,137
17,Criminal,3.54,13,69
18,Divorce,4.15,5,111
19,Immigration,4.28,4,142
20,Real Estate,4.25,14,102
21,Contracts,5.0,8,65
22,Criminal,5.0,9,76
23,Contracts,4.0,19,46
24,Criminal,3.48,3,166
25,Immigration,4.26,5,131
26,Divorce,4.45,21,142
27,Labor,3.96,18,92
28,Contracts,3.98,1,171
29,Contracts,4.93,8,147
30,Labor,4.2,19,151
31,Contracts,4.56,17,192
32,Contracts,3.93,17,46
33,Criminal,4.28,11,195
34,Criminal,4.17,2,106
35,Labor,4.03,6,147
36,Divorce,4.76,22,150
37,Immigration,3.74,14,187
38,Immigration,4.42,3,122
39,Contracts,4.16,12,163
40,Divorce,4.47,4,178
41,Labor,4.16,12,143
42,Labor,4.65,13,106
43,Criminal,3.92,2,46
44,Contracts,4.76,2,190
45,Real Estate,4.29,15,149
46,Labor,3.77,23,73
47,Contracts,4.57,17,145
48,Divorce,4.22,7,186
49,Criminal,3.62,14,97
50,Immigration,4.43,12,48
51,Divorce,4.7,17,87
52,Labor,4.81,14,154
53,Labor,4.15,6,80
54,Divorce,4.36,19,87
55,Labor,4.32,24,64
56,Contracts,4.9,6,155
57,Labor,3.98,18,117
58,Criminal,4.11,24,147
59,Contracts,3.97,5,64
60,Real Estate,3.72,24,186
61,Labor,4.4,24,78
62,Labor,4.94,6,158
63,Criminal,4.22,2,118
64,Criminal,3.95,8,119
65,Immigration,4.37,15,66
66,Divorce,4.54,15,143
67,Divorce,4.24,11,113
68,Divorce,4.86,22,107
69,Criminal,3.98,22,186
70,Divorce,4.19,24,67
71,Divorce,4.42,1,162
72,Real Estate,4.46,18,177
73,Divorce,4.32,12,122
74,Labor,3.79,12,69
75,Immigration,5.0,11,61
76,Criminal,4.21,8,42
77,Contracts,4.34,7,140
78,Immigration,4.55,23,144
79,Real Estate,4.05,21,41
80,Criminal,4.32,2,93
