date,traffic_source,ad_spend,users_acquired
2025-01-01,google_search,1211,55
2025-01-01,seo_content,1246,207
2025-01-01,referral,865,39
2025-01-01,facebook_ads,1110,148
2025-01-01,linkedin_ads,899,53
2025-01-02,google_search,1455,99
2025-01-02,seo_content,1428,129
2025-01-02,referral,618,66
2025-01-02,facebook_ads,818,127
2025-01-02,linkedin_ads,712,34
2025-01-03,google_search,1151,89
2025-01-03,seo_content,1260,66
2025-01-03,referral,1181,107
2025-01-03,facebook_ads,1487,74
2025-01-03,linkedin_ads,466,24
2025-01-04,google_search,878,132
2025-01-04,seo_content,581,83
2025-01-04,referral,606,80
2025-01-04,facebook_ads,1487,162
2025-01-04,linkedin_ads,942,85
2025-01-05,google_search,1200,62
2025-01-05,seo_content,771,117
2025-01-05,referral,165,9
2025-01-05,facebook_ads,175,16
2025-01-05,linkedin_ads,1456,202
2025-01-06,google_search,1196,58
2025-01-06,seo_content,1149,56
2025-01-06,referral,305,48
2025-01-06,facebook_ads,745,36
2025-01-06,linkedin_ads,1462,142
2025-01-07,google_search,1453,94
2025-01-07,seo_content,1261,83
2025-01-07,referral,393,18
2025-01-07,facebook_ads,1364,79
2025-01-07,linkedin_ads,1325,104
2025-01-08,google_search,1046,153
2025-01-08,seo_content,611,90
2025-01-08,referral,619,43
2025-01-08,facebook_ads,299,14
2025-01-08,linkedin_ads,227,27
2025-01-09,google_search,1217,64
2025-01-09,seo_content,1021,118
2025-01-09,referral,1114,94
2025-01-09,facebook_ads,360,22
2025-01-09,linkedin_ads,1184,58
2025-01-10,google_search,999,61
2025-01-10,seo_content,302,26
2025-01-10,referral,566,27
2025-01-10,facebook_ads,756,37
2025-01-10,linkedin_ads,302,18
2025-01-11,google_search,1015,141
2025-01-11,seo_content,765,108
2025-01-11,referral,639,50
2025-01-11,facebook_ads,1372,75
2025-01-11,linkedin_ads,326,30
2025-01-12,google_search,1051,66
2025-01-12,seo_content,170,11
2025-01-12,referral,428,21
2025-01-12,facebook_ads,776,37
2025-01-12,linkedin_ads,1184,189
2025-01-13,google_search,467,24
2025-01-13,seo_content,555,25
2025-01-13,referral,655,48
2025-01-13,facebook_ads,1060,116
2025-01-13,linkedin_ads,961,99
2025-01-14,google_search,846,46
2025-01-14,seo_content,1169,67
2025-01-14,referral,349,39
2025-01-14,facebook_ads,570,88
2025-01-14,linkedin_ads,171,12
2025-01-15,google_search,369,18
2025-01-15,seo_content,1477,152
2025-01-15,referral,806,82
2025-01-15,facebook_ads,601,39
2025-01-15,linkedin_ads,1124,75
2025-01-16,google_search,563,29
2025-01-16,seo_content,1099,62
2025-01-16,referral,792,64
2025-01-16,facebook_ads,1222,67
2025-01-16,linkedin_ads,403,27
2025-01-17,google_search,872,73
2025-01-17,seo_content,372,46
2025-01-17,referral,259,12
2025-01-17,facebook_ads,1123,64
2025-01-17,linkedin_ads,1343,81
2025-01-18,google_search,1385,193
2025-01-18,seo_content,1152,97
2025-01-18,referral,1445,156
2025-01-18,facebook_ads,1060,125
2025-01-18,linkedin_ads,1425,156
2025-01-19,google_search,236,19
2025-01-19,seo_content,1227,62
2025-01-19,referral,594,55
2025-01-19,facebook_ads,250,15
2025-01-19,linkedin_ads,601,70
2025-01-20,google_search,379,23
2025-01-20,seo_content,837,60
2025-01-20,referral,229,12
2025-01-20,facebook_ads,1261,113
2025-01-20,linkedin_ads,864,111
2025-01-21,google_search,807,54
2025-01-21,seo_content,1362,65
2025-01-21,referral,295,28
2025-01-21,facebook_ads,615,33
2025-01-21,linkedin_ads,831,115
2025-01-22,google_search,1404,198
2025-01-22,seo_content,840,111
2025-01-22,referral,767,84
2025-01-22,facebook_ads,934,48
2025-01-22,linkedin_ads,774,75
2025-01-23,google_search,1029,58
2025-01-23,seo_content,474,25
2025-01-23,referral,324,19
2025-01-23,facebook_ads,590,60
2025-01-23,linkedin_ads,716,33
2025-01-24,google_search,676,45
2025-01-24,seo_content,655,53
2025-01-24,referral,776,89
2025-01-24,facebook_ads,1211,91
2025-01-24,linkedin_ads,588,28
2025-01-25,google_search,526,33
2025-01-25,seo_content,1117,95
2025-01-25,referral,787,96
2025-01-25,facebook_ads,1032,166
2025-01-25,linkedin_ads,774,36
2025-01-26,google_search,567,90
2025-01-26,seo_content,846,110
2025-01-26,referral,1482,183
2025-01-26,facebook_ads,193,13
2025-01-26,linkedin_ads,1301,61
2025-01-27,google_search,560,27
2025-01-27,seo_content,1021,52
2025-01-27,referral,760,35
2025-01-27,facebook_ads,220,14
2025-01-27,linkedin_ads,380,24
2025-01-28,google_search,1350,97
2025-01-28,seo_content,931,84
2025-01-28,referral,626,62
2025-01-28,facebook_ads,715,73
2025-01-28,linkedin_ads,1006,68
2025-01-29,google_search,906,58
2025-01-29,seo_content,512,74
2025-01-29,referral,186,27
2025-01-29,facebook_ads,1332,64
2025-01-29,linkedin_ads,362,18
2025-01-30,google_search,487,48
2025-01-30,seo_content,243,15
2025-01-30,referral,1476,157
2025-01-30,facebook_ads,478,29
2025-01-30,linkedin_ads,547,35
2025-01-31,google_search,1466,203
2025-01-31,seo_content,1192,65
2025-01-31,referral,469,22
2025-01-31,facebook_ads,367,35
2025-01-31,linkedin_ads,661,50
2025-02-01,google_search,1272,129
2025-02-01,seo_content,865,69
2025-02-01,referral,944,116
2025-02-01,facebook_ads,1151,67
2025-02-01,linkedin_ads,1408,109
2025-02-02,google_search,668,70
2025-02-02,seo_content,250,12
2025-02-02,referral,529,37
2025-02-02,facebook_ads,839,77
2025-02-02,linkedin_ads,278,19
2025-02-03,google_search,1064,145
2025-02-03,seo_content,714,54
2025-02-03,referral,884,58
2025-02-03,facebook_ads,964,50
2025-02-03,linkedin_ads,422,59
2025-02-04,google_search,1057,61
2025-02-04,seo_content,1168,53
2025-02-04,referral,1310,68
2025-02-04,facebook_ads,1332,185
2025-02-04,linkedin_ads,882,58
2025-02-05,google_search,1314,91
2025-02-05,seo_content,567,49
2025-02-05,referral,1121,72
2025-02-05,facebook_ads,795,96
2025-02-05,linkedin_ads,462,48
2025-02-06,google_search,523,38
2025-02-06,seo_content,651,69
2025-02-06,referral,303,18
2025-02-06,facebook_ads,1434,113
2025-02-06,linkedin_ads,817,52
2025-02-07,google_search,1304,69
2025-02-07,seo_content,1491,162
2025-02-07,referral,656,44
2025-02-07,facebook_ads,1064,75
2025-02-07,linkedin_ads,294,35
2025-02-08,google_search,1106,77
2025-02-08,seo_content,437,25
2025-02-08,referral,1474,131
2025-02-08,facebook_ads,1065,91
2025-02-08,linkedin_ads,154,7
2025-02-09,google_search,1241,134
2025-02-09,seo_content,192,9
2025-02-09,referral,1212,73
2025-02-09,facebook_ads,272,14
2025-02-09,linkedin_ads,1404,214
2025-02-10,google_search,446,25
2025-02-10,seo_content,157,14
2025-02-10,referral,1023,63
2025-02-10,facebook_ads,689,37
2025-02-10,linkedin_ads,1204,91
2025-02-11,google_search,1183,175
2025-02-11,seo_content,1113,103
2025-02-11,referral,1401,68
2025-02-11,facebook_ads,827,65
2025-02-11,linkedin_ads,1139,70
2025-02-12,google_search,604,40
2025-02-12,seo_content,544,28
2025-02-12,referral,213,18
2025-02-12,facebook_ads,808,55
2025-02-12,linkedin_ads,1213,58
2025-02-13,google_search,179,15
2025-02-13,seo_content,496,26
2025-02-13,referral,1319,146
2025-02-13,facebook_ads,1053,70
2025-02-13,linkedin_ads,334,15
2025-02-14,google_search,866,83
2025-02-14,seo_content,329,32
2025-02-14,referral,1324,63
2025-02-14,facebook_ads,245,35
2025-02-14,linkedin_ads,1290,137
2025-02-15,google_search,1148,105
2025-02-15,seo_content,1459,226
2025-02-15,referral,272,36
2025-02-15,facebook_ads,888,73
2025-02-15,linkedin_ads,323,22
2025-02-16,google_search,492,51
2025-02-16,seo_content,562,55
2025-02-16,referral,1171,67
2025-02-16,facebook_ads,988,46
2025-02-16,linkedin_ads,364,25
2025-02-17,google_search,755,56
2025-02-17,seo_content,521,77
2025-02-17,referral,1283,96
2025-02-17,facebook_ads,318,27
2025-02-17,linkedin_ads,423,40
2025-02-18,google_search,1404,73
2025-02-18,seo_content,1256,151
2025-02-18,referral,650,41
2025-02-18,facebook_ads,1200,169
2025-02-18,linkedin_ads,651,55
2025-02-19,google_search,1012,55
2025-02-19,seo_content,1113,91
2025-02-19,referral,1320,99
2025-02-19,facebook_ads,801,52
2025-02-19,linkedin_ads,994,73
2025-02-20,google_search,1366,62
2025-02-20,seo_content,925,45
2025-02-20,referral,1463,88
2025-02-20,facebook_ads,312,38
2025-02-20,linkedin_ads,268,43
2025-02-21,google_search,738,95
2025-02-21,seo_content,264,12
2025-02-21,referral,882,42
2025-02-21,facebook_ads,397,46
2025-02-21,linkedin_ads,419,21
2025-02-22,google_search,363,17
2025-02-22,seo_content,1130,57
2025-02-22,referral,1172,66
2025-02-22,facebook_ads,263,11
2025-02-22,linkedin_ads,178,17
2025-02-23,google_search,1017,73
2025-02-23,seo_content,216,11
2025-02-23,referral,1078,105
2025-02-23,facebook_ads,1174,76
2025-02-23,linkedin_ads,514,50
2025-02-24,google_search,531,37
2025-02-24,seo_content,1471,71
2025-02-24,referral,1073,82
2025-02-24,facebook_ads,1492,154
2025-02-24,linkedin_ads,399,22
2025-02-25,google_search,508,30
2025-02-25,seo_content,207,14
2025-02-25,referral,510,25
2025-02-25,facebook_ads,796,53
2025-02-25,linkedin_ads,541,40
2025-02-26,google_search,1301,93
2025-02-26,seo_content,947,46
2025-02-26,referral,211,19
2025-02-26,facebook_ads,1128,54
2025-02-26,linkedin_ads,1080,125
2025-02-27,google_search,246,20
2025-02-27,seo_content,964,47
2025-02-27,referral,426,21
2025-02-27,facebook_ads,1284,159
2025-02-27,linkedin_ads,282,24
2025-02-28,google_search,534,60
2025-02-28,seo_content,1248,98
2025-02-28,referral,567,65
2025-02-28,facebook_ads,1277,129
2025-02-28,linkedin_ads,349,30
2025-03-01,google_search,173,16
2025-03-01,seo_content,1213,72
2025-03-01,referral,188,10
2025-03-01,facebook_ads,728,48
2025-03-01,linkedin_ads,1046,135
2025-03-02,google_search,1026,94
2025-03-02,seo_content,271,17
2025-03-02,referral,967,106
2025-03-02,facebook_ads,836,63
2025-03-02,linkedin_ads,701,44
2025-03-03,google_search,1053,83
2025-03-03,seo_content,932,48
2025-03-03,referral,1235,77
2025-03-03,facebook_ads,930,68
2025-03-03,linkedin_ads,1456,124
2025-03-04,google_search,912,97
2025-03-04,seo_content,1017,76
2025-03-04,referral,831,106
2025-03-04,facebook_ads,717,64
2025-03-04,linkedin_ads,1470,154
2025-03-05,google_search,583,36
2025-03-05,seo_content,368,20
2025-03-05,referral,700,35
2025-03-05,facebook_ads,1263,89
2025-03-05,linkedin_ads,1173,64
2025-03-06,google_search,247,38
2025-03-06,seo_content,1212,57
2025-03-06,referral,168,7
2025-03-06,facebook_ads,622,36
2025-03-06,linkedin_ads,1469,71
2025-03-07,google_search,421,22
2025-03-07,seo_content,314,27
2025-03-07,referral,388,24
2025-03-07,facebook_ads,820,48
2025-03-07,linkedin_ads,1286,128
2025-03-08,google_search,1334,70
2025-03-08,seo_content,859,73
2025-03-08,referral,524,84
2025-03-08,facebook_ads,839,83
2025-03-08,linkedin_ads,885,48
2025-03-09,google_search,555,38
2025-03-09,seo_content,322,27
2025-03-09,referral,538,27
2025-03-09,facebook_ads,301,13
2025-03-09,linkedin_ads,1361,75
2025-03-10,google_search,1238,138
2025-03-10,seo_content,234,22
2025-03-10,referral,1242,103
2025-03-10,facebook_ads,561,72
2025-03-10,linkedin_ads,754,45
2025-03-11,google_search,1348,138
2025-03-11,seo_content,1310,83
2025-03-11,referral,301,17
2025-03-11,facebook_ads,616,86
2025-03-11,linkedin_ads,1029,53
2025-03-12,google_search,267,35
2025-03-12,seo_content,1059,77
2025-03-12,referral,629,29
2025-03-12,facebook_ads,1079,86
2025-03-12,linkedin_ads,595,47
2025-03-13,google_search,478,42
2025-03-13,seo_content,152,16
2025-03-13,referral,222,16
2025-03-13,facebook_ads,1251,80
2025-03-13,linkedin_ads,1430,66
2025-03-14,google_search,665,42
2025-03-14,seo_content,715,106
2025-03-14,referral,1163,161
2025-03-14,facebook_ads,849,45
2025-03-14,linkedin_ads,753,40
2025-03-15,google_search,1113,122
2025-03-15,seo_content,537,73
2025-03-15,referral,163,22
2025-03-15,facebook_ads,871,73
2025-03-15,linkedin_ads,538,40
2025-03-16,google_search,991,122
2025-03-16,seo_content,1258,71
2025-03-16,referral,624,44
2025-03-16,facebook_ads,472,30
2025-03-16,linkedin_ads,609,78
2025-03-17,google_search,1349,72
2025-03-17,seo_content,599,39
2025-03-17,referral,1112,53
2025-03-17,facebook_ads,1153,79
2025-03-17,linkedin_ads,387,21
2025-03-18,google_search,404,39
2025-03-18,seo_content,359,37
2025-03-18,referral,1191,60
2025-03-18,facebook_ads,1491,168
2025-03-18,linkedin_ads,946,45
2025-03-19,google_search,193,12
2025-03-19,seo_content,1406,85
2025-03-19,referral,341,19
2025-03-19,facebook_ads,1400,110
2025-03-19,linkedin_ads,1339,63
2025-03-20,google_search,1434,148
2025-03-20,seo_content,623,35
2025-03-20,referral,382,21
2025-03-20,facebook_ads,1033,116
2025-03-20,linkedin_ads,1217,76
2025-03-21,google_search,766,44
2025-03-21,seo_content,434,25
2025-03-21,referral,1388,68
2025-03-21,facebook_ads,1006,69
2025-03-21,linkedin_ads,160,13
2025-03-22,google_search,159,17
2025-03-22,seo_content,224,13
2025-03-22,referral,363,32
2025-03-22,facebook_ads,543,41
2025-03-22,linkedin_ads,337,26
2025-03-23,google_search,256,25
2025-03-23,seo_content,659,48
2025-03-23,referral,1153,92
2025-03-23,facebook_ads,415,20
2025-03-23,linkedin_ads,1062,79
2025-03-24,google_search,192,11
2025-03-24,seo_content,1330,166
2025-03-24,referral,1208,58
2025-03-24,facebook_ads,1164,58
2025-03-24,linkedin_ads,542,38
2025-03-25,google_search,867,71
2025-03-25,seo_content,394,55
2025-03-25,referral,330,17
2025-03-25,facebook_ads,1114,77
2025-03-25,linkedin_ads,894,110
2025-03-26,google_search,693,69
2025-03-26,seo_content,179,11
2025-03-26,referral,1206,56
2025-03-26,facebook_ads,499,56
2025-03-26,linkedin_ads,1139,76
2025-03-27,google_search,466,41
2025-03-27,seo_content,927,46
2025-03-27,referral,981,51
2025-03-27,facebook_ads,905,69
2025-03-27,linkedin_ads,1266,64
2025-03-28,google_search,969,71
2025-03-28,seo_content,1121,57
2025-03-28,referral,1250,61
2025-03-28,facebook_ads,870,52
2025-03-28,linkedin_ads,224,13
2025-03-29,google_search,335,23
2025-03-29,seo_content,1064,50
2025-03-29,referral,648,84
2025-03-29,facebook_ads,838,102
2025-03-29,linkedin_ads,1416,81
2025-03-30,google_search,1116,59
2025-03-30,seo_content,1270,68
2025-03-30,referral,816,116
2025-03-30,facebook_ads,1450,115
2025-03-30,linkedin_ads,1111,67
2025-03-31,google_search,936,85
2025-03-31,seo_content,616,49
2025-03-31,referral,724,50
2025-03-31,facebook_ads,813,97
2025-03-31,linkedin_ads,339,20
2025-04-01,google_search,909,46
2025-04-01,seo_content,1323,99
2025-04-01,referral,670,42
2025-04-01,facebook_ads,1242,177
2025-04-01,linkedin_ads,533,49
2025-04-02,google_search,653,33
2025-04-02,seo_content,1012,89
2025-04-02,referral,545,26
2025-04-02,facebook_ads,1390,68
2025-04-02,linkedin_ads,1423,95
2025-04-03,google_search,783,59
2025-04-03,seo_content,152,8
2025-04-03,referral,384,56
2025-04-03,facebook_ads,185,14
2025-04-03,linkedin_ads,508,47
2025-04-04,google_search,228,12
2025-04-04,seo_content,1393,67
2025-04-04,referral,1325,159
2025-04-04,facebook_ads,861,98
2025-04-04,linkedin_ads,1224,68
2025-04-05,google_search,1010,73
2025-04-05,seo_content,747,58
2025-04-05,referral,605,70
2025-04-05,facebook_ads,183,11
2025-04-05,linkedin_ads,1017,83
2025-04-06,google_search,1171,71
2025-04-06,seo_content,1201,80
2025-04-06,referral,1040,73
2025-04-06,facebook_ads,799,36
2025-04-06,linkedin_ads,196,15
2025-04-07,google_search,171,10
2025-04-07,seo_content,809,70
2025-04-07,referral,177,9
2025-04-07,facebook_ads,388,20
2025-04-07,linkedin_ads,500,35
2025-04-08,google_search,1168,67
2025-04-08,seo_content,179,16
2025-04-08,referral,397,23
2025-04-08,facebook_ads,734,41
2025-04-08,linkedin_ads,744,54
2025-04-09,google_search,286,13
2025-04-09,seo_content,1464,243
2025-04-09,referral,281,17
2025-04-09,facebook_ads,1024,68
2025-04-09,linkedin_ads,165,12
2025-04-10,google_search,1280,65
2025-04-10,seo_content,387,30
2025-04-10,referral,1337,96
2025-04-10,facebook_ads,365,53
2025-04-10,linkedin_ads,1124,53
2025-04-11,google_search,1454,188
2025-04-11,seo_content,1482,96
2025-04-11,referral,1369,129
2025-04-11,facebook_ads,554,33
2025-04-11,linkedin_ads,162,9
2025-04-12,google_search,247,33
2025-04-12,seo_content,289,16
2025-04-12,referral,393,55
2025-04-12,facebook_ads,1023,69
2025-04-12,linkedin_ads,1037,160
2025-04-13,google_search,1141,183
2025-04-13,seo_content,997,103
2025-04-13,referral,949,44
2025-04-13,facebook_ads,904,66
2025-04-13,linkedin_ads,1138,90
2025-04-14,google_search,1060,57
2025-04-14,seo_content,1497,72
2025-04-14,referral,325,33
2025-04-14,facebook_ads,576,27
2025-04-14,linkedin_ads,1361,64
2025-04-15,google_search,1488,123
2025-04-15,seo_content,1126,162
2025-04-15,referral,1119,172
2025-04-15,facebook_ads,872,144
2025-04-15,linkedin_ads,868,76
2025-04-16,google_search,177,8
2025-04-16,seo_content,731,38
2025-04-16,referral,580,31
2025-04-16,facebook_ads,483,35
2025-04-16,linkedin_ads,551,46
