date,traffic_source,ad_spend
2025-01-01,SEO,167
2025-01-01,Google Ads,101
2025-01-01,Referral,159
2025-01-01,Direct,132
2025-01-02,SEO,100
2025-01-02,Google Ads,87
2025-01-02,Referral,38
2025-01-02,Direct,106
2025-01-03,SEO,46
2025-01-03,Google Ads,135
2025-01-03,Referral,189
2025-01-03,Direct,135
2025-01-04,SEO,64
2025-01-04,Google Ads,97
2025-01-04,Referral,87
2025-01-04,Direct,171
2025-01-05,SEO,106
2025-01-05,Google Ads,55
2025-01-05,Referral,152
2025-01-05,Direct,46
2025-01-06,SEO,184
2025-01-06,Google Ads,46
2025-01-06,Referral,114
2025-01-06,Direct,95
2025-01-07,SEO,194
2025-01-07,Google Ads,153
2025-01-07,Referral,95
2025-01-07,Direct,147
2025-01-08,SEO,161
2025-01-08,Google Ads,41
2025-01-08,Referral,94
2025-01-08,Direct,123
2025-01-09,SEO,71
2025-01-09,Google Ads,122
2025-01-09,Referral,121
2025-01-09,Direct,140
2025-01-10,SEO,96
2025-01-10,Google Ads,25
2025-01-10,Referral,167
2025-01-10,Direct,73
2025-01-11,SEO,21
2025-01-11,Google Ads,91
2025-01-11,Referral,177
2025-01-11,Direct,110
2025-01-12,SEO,147
2025-01-12,Google Ads,151
2025-01-12,Referral,194
2025-01-12,Direct,107
2025-01-13,SEO,115
2025-01-13,Google Ads,166
2025-01-13,Referral,61
2025-01-13,Direct,118
2025-01-14,SEO,189
2025-01-14,Google Ads,70
2025-01-14,Referral,22
2025-01-14,Direct,56
2025-01-15,SEO,41
2025-01-15,Google Ads,180
2025-01-15,Referral,122
2025-01-15,Direct,117
2025-01-16,SEO,196
2025-01-16,Google Ads,106
2025-01-16,Referral,81
2025-01-16,Direct,54
2025-01-17,SEO,48
2025-01-17,Google Ads,85
2025-01-17,Referral,144
2025-01-17,Direct,69
2025-01-18,SEO,33
2025-01-18,Google Ads,67
2025-01-18,Referral,63
2025-01-18,Direct,91
2025-01-19,SEO,148
2025-01-19,Google Ads,175
2025-01-19,Referral,22
2025-01-19,Direct,137
2025-01-20,SEO,117
2025-01-20,Google Ads,67
2025-01-20,Referral,145
2025-01-20,Direct,179
2025-01-21,SEO,28
2025-01-21,Google Ads,65
2025-01-21,Referral,77
2025-01-21,Direct,34
2025-01-22,SEO,138
2025-01-22,Google Ads,163
2025-01-22,Referral,134
2025-01-22,Direct,65
2025-01-23,SEO,90
2025-01-23,Google Ads,54
2025-01-23,Referral,85
2025-01-23,Direct,76
2025-01-24,SEO,131
2025-01-24,Google Ads,53
2025-01-24,Referral,50
2025-01-24,Direct,31
2025-01-25,SEO,194
2025-01-25,Google Ads,84
2025-01-25,Referral,148
2025-01-25,Direct,98
2025-01-26,SEO,33
2025-01-26,Google Ads,157
2025-01-26,Referral,86
2025-01-26,Direct,103
2025-01-27,SEO,147
2025-01-27,Google Ads,69
2025-01-27,Referral,138
2025-01-27,Direct,147
2025-01-28,SEO,119
2025-01-28,Google Ads,110
2025-01-28,Referral,135
2025-01-28,Direct,183
2025-01-29,SEO,30
2025-01-29,Google Ads,150
2025-01-29,Referral,186
2025-01-29,Direct,29
2025-01-30,SEO,70
2025-01-30,Google Ads,51
2025-01-30,Referral,199
2025-01-30,Direct,91
2025-01-31,SEO,66
2025-01-31,Google Ads,32
2025-01-31,Referral,141
2025-01-31,Direct,86
2025-02-01,SEO,72
2025-02-01,Google Ads,72
2025-02-01,Referral,162
2025-02-01,Direct,140
2025-02-02,SEO,61
2025-02-02,Google Ads,48
2025-02-02,Referral,66
2025-02-02,Direct,49
2025-02-03,SEO,142
2025-02-03,Google Ads,33
2025-02-03,Referral,98
2025-02-03,Direct,130
2025-02-04,SEO,78
2025-02-04,Google Ads,129
2025-02-04,Referral,125
2025-02-04,Direct,83
2025-02-05,SEO,63
2025-02-05,Google Ads,33
2025-02-05,Referral,172
2025-02-05,Direct,110
2025-02-06,SEO,63
2025-02-06,Google Ads,80
2025-02-06,Referral,21
2025-02-06,Direct,98
2025-02-07,SEO,93
2025-02-07,Google Ads,190
2025-02-07,Referral,28
2025-02-07,Direct,171
2025-02-08,SEO,185
2025-02-08,Google Ads,152
2025-02-08,Referral,87
2025-02-08,Direct,177
2025-02-09,SEO,81
2025-02-09,Google Ads,154
2025-02-09,Referral,198
2025-02-09,Direct,179
2025-02-10,SEO,126
2025-02-10,Google Ads,93
2025-02-10,Referral,120
2025-02-10,Direct,45
2025-02-11,SEO,62
2025-02-11,Google Ads,128
2025-02-11,Referral,81
2025-02-11,Direct,178
2025-02-12,SEO,42
2025-02-12,Google Ads,83
2025-02-12,Referral,91
2025-02-12,Direct,163
2025-02-13,SEO,139
2025-02-13,Google Ads,28
2025-02-13,Referral,23
2025-02-13,Direct,58
2025-02-14,SEO,63
2025-02-14,Google Ads,60
2025-02-14,Referral,32
2025-02-14,Direct,95
2025-02-15,SEO,159
2025-02-15,Google Ads,43
2025-02-15,Referral,67
2025-02-15,Direct,118
2025-02-16,SEO,51
2025-02-16,Google Ads,185
2025-02-16,Referral,40
2025-02-16,Direct,178
2025-02-17,SEO,83
2025-02-17,Google Ads,199
2025-02-17,Referral,182
2025-02-17,Direct,163
2025-02-18,SEO,187
2025-02-18,Google Ads,109
2025-02-18,Referral,57
2025-02-18,Direct,22
2025-02-19,SEO,184
2025-02-19,Google Ads,119
2025-02-19,Referral,21
2025-02-19,Direct,22
2025-02-20,SEO,123
2025-02-20,Google Ads,194
2025-02-20,Referral,125
2025-02-20,Direct,130
2025-02-21,SEO,109
2025-02-21,Google Ads,46
2025-02-21,Referral,57
2025-02-21,Direct,191
2025-02-22,SEO,27
2025-02-22,Google Ads,42
2025-02-22,Referral,153
2025-02-22,Direct,172
2025-02-23,SEO,78
2025-02-23,Google Ads,77
2025-02-23,Referral,163
2025-02-23,Direct,45
2025-02-24,SEO,98
2025-02-24,Google Ads,194
2025-02-24,Referral,115
2025-02-24,Direct,187
2025-02-25,SEO,166
2025-02-25,Google Ads,136
2025-02-25,Referral,191
2025-02-25,Direct,118
2025-02-26,SEO,173
2025-02-26,Google Ads,71
2025-02-26,Referral,184
2025-02-26,Direct,96
2025-02-27,SEO,66
2025-02-27,Google Ads,33
2025-02-27,Referral,173
2025-02-27,Direct,66
2025-02-28,SEO,113
2025-02-28,Google Ads,125
2025-02-28,Referral,160
2025-02-28,Direct,158
2025-03-01,SEO,21
2025-03-01,Google Ads,177
2025-03-01,Referral,134
2025-03-01,Direct,43
2025-03-02,SEO,101
2025-03-02,Google Ads,42
2025-03-02,Referral,136
2025-03-02,Direct,89
2025-03-03,SEO,129
2025-03-03,Google Ads,94
2025-03-03,Referral,154
2025-03-03,Direct,194
2025-03-04,SEO,141
2025-03-04,Google Ads,157
2025-03-04,Referral,104
2025-03-04,Direct,138
2025-03-05,SEO,177
2025-03-05,Google Ads,195
2025-03-05,Referral,44
2025-03-05,Direct,132
2025-03-06,SEO,43
2025-03-06,Google Ads,31
2025-03-06,Referral,181
2025-03-06,Direct,150
2025-03-07,SEO,153
2025-03-07,Google Ads,78
2025-03-07,Referral,174
2025-03-07,Direct,102
2025-03-08,SEO,91
2025-03-08,Google Ads,55
2025-03-08,Referral,80
2025-03-08,Direct,119
2025-03-09,SEO,152
2025-03-09,Google Ads,189
2025-03-09,Referral,161
2025-03-09,Direct,84
2025-03-10,SEO,31
2025-03-10,Google Ads,149
2025-03-10,Referral,33
2025-03-10,Direct,86
2025-03-11,SEO,134
2025-03-11,Google Ads,118
2025-03-11,Referral,86
2025-03-11,Direct,33
2025-03-12,SEO,181
2025-03-12,Google Ads,64
2025-03-12,Referral,156
2025-03-12,Direct,157
2025-03-13,SEO,155
2025-03-13,Google Ads,176
2025-03-13,Referral,80
2025-03-13,Direct,186
2025-03-14,SEO,52
2025-03-14,Google Ads,170
2025-03-14,Referral,91
2025-03-14,Direct,146
2025-03-15,SEO,187
2025-03-15,Google Ads,121
2025-03-15,Referral,42
2025-03-15,Direct,78
2025-03-16,SEO,197
2025-03-16,Google Ads,119
2025-03-16,Referral,75
2025-03-16,Direct,190
2025-03-17,SEO,146
2025-03-17,Google Ads,103
2025-03-17,Referral,77
2025-03-17,Direct,147
2025-03-18,SEO,159
2025-03-18,Google Ads,183
2025-03-18,Referral,153
2025-03-18,Direct,51
2025-03-19,SEO,171
2025-03-19,Google Ads,176
2025-03-19,Referral,27
2025-03-19,Direct,32
2025-03-20,SEO,82
2025-03-20,Google Ads,44
2025-03-20,Referral,176
2025-03-20,Direct,80
2025-03-21,SEO,107
2025-03-21,Google Ads,144
2025-03-21,Referral,45
2025-03-21,Direct,103
2025-03-22,SEO,41
2025-03-22,Google Ads,154
2025-03-22,Referral,81
2025-03-22,Direct,141
2025-03-23,SEO,137
2025-03-23,Google Ads,165
2025-03-23,Referral,29
2025-03-23,Direct,50
2025-03-24,SEO,45
2025-03-24,Google Ads,128
2025-03-24,Referral,109
2025-03-24,Direct,145
2025-03-25,SEO,44
2025-03-25,Google Ads,139
2025-03-25,Referral,199
2025-03-25,Direct,37
2025-03-26,SEO,171
2025-03-26,Google Ads,127
2025-03-26,Referral,162
2025-03-26,Direct,147
2025-03-27,SEO,27
2025-03-27,Google Ads,62
2025-03-27,Referral,43
2025-03-27,Direct,136
2025-03-28,SEO,121
2025-03-28,Google Ads,84
2025-03-28,Referral,45
2025-03-28,Direct,93
2025-03-29,SEO,173
2025-03-29,Google Ads,85
2025-03-29,Referral,187
2025-03-29,Direct,33
2025-03-30,SEO,180
2025-03-30,Google Ads,186
2025-03-30,Referral,148
2025-03-30,Direct,113
2025-03-31,SEO,56
2025-03-31,Google Ads,37
2025-03-31,Referral,177
2025-03-31,Direct,174
2025-04-01,SEO,196
2025-04-01,Google Ads,132
2025-04-01,Referral,49
2025-04-01,Direct,192
2025-04-02,SEO,119
2025-04-02,Google Ads,40
2025-04-02,Referral,163
2025-04-02,Direct,37
2025-04-03,SEO,181
2025-04-03,Google Ads,168
2025-04-03,Referral,178
2025-04-03,Direct,29
2025-04-04,SEO,124
2025-04-04,Google Ads,23
2025-04-04,Referral,34
2025-04-04,Direct,72
2025-04-05,SEO,74
2025-04-05,Google Ads,189
2025-04-05,Referral,175
2025-04-05,Direct,141
2025-04-06,SEO,154
2025-04-06,Google Ads,158
2025-04-06,Referral,176
2025-04-06,Direct,181
2025-04-07,SEO,135
2025-04-07,Google Ads,144
2025-04-07,Referral,135
2025-04-07,Direct,113
2025-04-08,SEO,44
2025-04-08,Google Ads,121
2025-04-08,Referral,59
2025-04-08,Direct,139
2025-04-09,SEO,112
2025-04-09,Google Ads,138
2025-04-09,Referral,197
2025-04-09,Direct,30
2025-04-10,SEO,151
2025-04-10,Google Ads,178
2025-04-10,Referral,93
2025-04-10,Direct,73
2025-04-11,SEO,99
2025-04-11,Google Ads,75
2025-04-11,Referral,136
2025-04-11,Direct,113
2025-04-12,SEO,118
2025-04-12,Google Ads,63
2025-04-12,Referral,24
2025-04-12,Direct,99
2025-04-13,SEO,87
2025-04-13,Google Ads,156
2025-04-13,Referral,23
2025-04-13,Direct,104
2025-04-14,SEO,136
2025-04-14,Google Ads,114
2025-04-14,Referral,35
2025-04-14,Direct,130
2025-04-15,SEO,89
2025-04-15,Google Ads,34
2025-04-15,Referral,126
2025-04-15,Direct,199
2025-04-16,SEO,178
2025-04-16,Google Ads,113
2025-04-16,Referral,99
2025-04-16,Direct,63
2025-04-17,SEO,183
2025-04-17,Google Ads,145
2025-04-17,Referral,149
2025-04-17,Direct,175
2025-04-18,SEO,131
2025-04-18,Google Ads,59
2025-04-18,Referral,82
2025-04-18,Direct,82
2025-04-19,SEO,36
2025-04-19,Google Ads,57
2025-04-19,Referral,147
2025-04-19,Direct,183
2025-04-20,SEO,179
2025-04-20,Google Ads,44
2025-04-20,Referral,96
2025-04-20,Direct,161
2025-04-21,SEO,191
2025-04-21,Google Ads,143
2025-04-21,Referral,44
2025-04-21,Direct,54
2025-04-22,SEO,98
2025-04-22,Google Ads,194
2025-04-22,Referral,194
2025-04-22,Direct,164
2025-04-23,SEO,108
2025-04-23,Google Ads,42
2025-04-23,Referral,141
2025-04-23,Direct,36
2025-04-24,SEO,48
2025-04-24,Google Ads,21
2025-04-24,Referral,30
2025-04-24,Direct,35
2025-04-25,SEO,198
2025-04-25,Google Ads,100
2025-04-25,Referral,40
2025-04-25,Direct,40
2025-04-26,SEO,25
2025-04-26,Google Ads,65
2025-04-26,Referral,42
2025-04-26,Direct,77
2025-04-27,SEO,58
2025-04-27,Google Ads,192
2025-04-27,Referral,176
2025-04-27,Direct,50
2025-04-28,SEO,21
2025-04-28,Google Ads,105
2025-04-28,Referral,184
2025-04-28,Direct,63
2025-04-29,SEO,146
2025-04-29,Google Ads,82
2025-04-29,Referral,141
2025-04-29,Direct,94
2025-04-30,SEO,72
2025-04-30,Google Ads,95
2025-04-30,Referral,150
2025-04-30,Direct,113
2025-05-01,SEO,38
2025-05-01,Google Ads,64
2025-05-01,Referral,74
2025-05-01,Direct,48
2025-05-02,SEO,67
2025-05-02,Google Ads,91
2025-05-02,Referral,82
2025-05-02,Direct,168
2025-05-03,SEO,76
2025-05-03,Google Ads,32
2025-05-03,Referral,174
2025-05-03,Direct,107
2025-05-04,SEO,124
2025-05-04,Google Ads,28
2025-05-04,Referral,93
2025-05-04,Direct,94
2025-05-05,SEO,116
2025-05-05,Google Ads,154
2025-05-05,Referral,158
2025-05-05,Direct,128
2025-05-06,SEO,47
2025-05-06,Google Ads,121
2025-05-06,Referral,113
2025-05-06,Direct,138
2025-05-07,SEO,91
2025-05-07,Google Ads,46
2025-05-07,Referral,169
2025-05-07,Direct,189
2025-05-08,SEO,179
2025-05-08,Google Ads,161
2025-05-08,Referral,173
2025-05-08,Direct,90
2025-05-09,SEO,192
2025-05-09,Google Ads,49
2025-05-09,Referral,85
2025-05-09,Direct,118
2025-05-10,SEO,173
2025-05-10,Google Ads,108
2025-05-10,Referral,148
2025-05-10,Direct,171
2025-05-11,SEO,74
2025-05-11,Google Ads,121
2025-05-11,Referral,84
2025-05-11,Direct,44
2025-05-12,SEO,117
2025-05-12,Google Ads,61
2025-05-12,Referral,63
2025-05-12,Direct,88
2025-05-13,SEO,124
2025-05-13,Google Ads,159
2025-05-13,Referral,27
2025-05-13,Direct,125
2025-05-14,SEO,82
2025-05-14,Google Ads,167
2025-05-14,Referral,187
2025-05-14,Direct,92
2025-05-15,SEO,143
2025-05-15,Google Ads,24
2025-05-15,Referral,148
2025-05-15,Direct,30
2025-05-16,SEO,151
2025-05-16,Google Ads,185
2025-05-16,Referral,36
2025-05-16,Direct,87
2025-05-17,SEO,179
2025-05-17,Google Ads,24
2025-05-17,Referral,169
2025-05-17,Direct,101
2025-05-18,SEO,86
2025-05-18,Google Ads,30
2025-05-18,Referral,172
2025-05-18,Direct,61
2025-05-19,SEO,54
2025-05-19,Google Ads,98
2025-05-19,Referral,78
2025-05-19,Direct,136
2025-05-20,SEO,67
2025-05-20,Google Ads,22
2025-05-20,Referral,43
2025-05-20,Direct,138
2025-05-21,SEO,120
2025-05-21,Google Ads,52
2025-05-21,Referral,89
2025-05-21,Direct,194
2025-05-22,SEO,72
2025-05-22,Google Ads,192
2025-05-22,Referral,76
2025-05-22,Direct,59
2025-05-23,SEO,22
2025-05-23,Google Ads,68
2025-05-23,Referral,33
2025-05-23,Direct,144
2025-05-24,SEO,167
2025-05-24,Google Ads,44
2025-05-24,Referral,23
2025-05-24,Direct,188
2025-05-25,SEO,82
2025-05-25,Google Ads,195
2025-05-25,Referral,74
2025-05-25,Direct,21
2025-05-26,SEO,42
2025-05-26,Google Ads,127
2025-05-26,Referral,195
2025-05-26,Direct,138
2025-05-27,SEO,34
2025-05-27,Google Ads,70
2025-05-27,Referral,171
2025-05-27,Direct,39
2025-05-28,SEO,75
2025-05-28,Google Ads,57
2025-05-28,Referral,44
2025-05-28,Direct,105
2025-05-29,SEO,199
2025-05-29,Google Ads,198
2025-05-29,Referral,194
2025-05-29,Direct,87
2025-05-30,SEO,99
2025-05-30,Google Ads,83
2025-05-30,Referral,190
2025-05-30,Direct,90
2025-05-31,SEO,107
2025-05-31,Google Ads,76
2025-05-31,Referral,186
2025-05-31,Direct,138
2025-06-01,SEO,48
2025-06-01,Google Ads,173
2025-06-01,Referral,161
2025-06-01,Direct,83
2025-06-02,SEO,66
2025-06-02,Google Ads,39
2025-06-02,Referral,26
2025-06-02,Direct,113
2025-06-03,SEO,147
2025-06-03,Google Ads,133
2025-06-03,Referral,72
2025-06-03,Direct,177
2025-06-04,SEO,85
2025-06-04,Google Ads,162
2025-06-04,Referral,146
2025-06-04,Direct,89
2025-06-05,SEO,111
2025-06-05,Google Ads,139
2025-06-05,Referral,172
2025-06-05,Direct,42
2025-06-06,SEO,159
2025-06-06,Google Ads,195
2025-06-06,Referral,131
2025-06-06,Direct,157
2025-06-07,SEO,164
2025-06-07,Google Ads,199
2025-06-07,Referral,138
2025-06-07,Direct,149
2025-06-08,SEO,100
2025-06-08,Google Ads,194
2025-06-08,Referral,90
2025-06-08,Direct,160
2025-06-09,SEO,93
2025-06-09,Google Ads,41
2025-06-09,Referral,145
2025-06-09,Direct,175
2025-06-10,SEO,197
2025-06-10,Google Ads,125
2025-06-10,Referral,143
2025-06-10,Direct,97
2025-06-11,SEO,166
2025-06-11,Google Ads,137
2025-06-11,Referral,20
2025-06-11,Direct,107
2025-06-12,SEO,161
2025-06-12,Google Ads,106
2025-06-12,Referral,88
2025-06-12,Direct,103
2025-06-13,SEO,169
2025-06-13,Google Ads,129
2025-06-13,Referral,147
2025-06-13,Direct,123
2025-06-14,SEO,191
2025-06-14,Google Ads,141
2025-06-14,Referral,196
2025-06-14,Direct,118
2025-06-15,SEO,55
2025-06-15,Google Ads,107
2025-06-15,Referral,181
2025-06-15,Direct,56
2025-06-16,SEO,70
2025-06-16,Google Ads,56
2025-06-16,Referral,172
2025-06-16,Direct,105
2025-06-17,SEO,24
2025-06-17,Google Ads,155
2025-06-17,Referral,72
2025-06-17,Direct,124
2025-06-18,SEO,130
2025-06-18,Google Ads,46
2025-06-18,Referral,80
2025-06-18,Direct,84
2025-06-19,SEO,103
2025-06-19,Google Ads,64
2025-06-19,Referral,150
2025-06-19,Direct,69
2025-06-20,SEO,67
2025-06-20,Google Ads,194
2025-06-20,Referral,161
2025-06-20,Direct,38
2025-06-21,SEO,153
2025-06-21,Google Ads,154
2025-06-21,Referral,120
2025-06-21,Direct,109
2025-06-22,SEO,32
2025-06-22,Google Ads,120
2025-06-22,Referral,65
2025-06-22,Direct,52
2025-06-23,SEO,135
2025-06-23,Google Ads,116
2025-06-23,Referral,60
2025-06-23,Direct,92
2025-06-24,SEO,48
2025-06-24,Google Ads,136
2025-06-24,Referral,26
2025-06-24,Direct,114
2025-06-25,SEO,30
2025-06-25,Google Ads,61
2025-06-25,Referral,24
2025-06-25,Direct,194
2025-06-26,SEO,21
2025-06-26,Google Ads,62
2025-06-26,Referral,23
2025-06-26,Direct,100
2025-06-27,SEO,138
2025-06-27,Google Ads,114
2025-06-27,Referral,78
2025-06-27,Direct,49
2025-06-28,SEO,149
2025-06-28,Google Ads,107
2025-06-28,Referral,93
2025-06-28,Direct,147
2025-06-29,SEO,190
2025-06-29,Google Ads,115
2025-06-29,Referral,37
2025-06-29,Direct,171
2025-06-30,SEO,184
2025-06-30,Google Ads,177
2025-06-30,Referral,78
2025-06-30,Direct,170
2025-07-01,SEO,49
2025-07-01,Google Ads,188
2025-07-01,Referral,70
2025-07-01,Direct,107
2025-07-02,SEO,86
2025-07-02,Google Ads,162
2025-07-02,Referral,128
2025-07-02,Direct,95
2025-07-03,SEO,84
2025-07-03,Google Ads,21
2025-07-03,Referral,30
2025-07-03,Direct,95
2025-07-04,SEO,111
2025-07-04,Google Ads,116
2025-07-04,Referral,189
2025-07-04,Direct,22
2025-07-05,SEO,60
2025-07-05,Google Ads,68
2025-07-05,Referral,102
2025-07-05,Direct,101
2025-07-06,SEO,56
2025-07-06,Google Ads,111
2025-07-06,Referral,26
2025-07-06,Direct,130
2025-07-07,SEO,57
2025-07-07,Google Ads,152
2025-07-07,Referral,80
2025-07-07,Direct,102
2025-07-08,SEO,186
2025-07-08,Google Ads,47
2025-07-08,Referral,149
2025-07-08,Direct,89
2025-07-09,SEO,175
2025-07-09,Google Ads,56
2025-07-09,Referral,139
2025-07-09,Direct,115
2025-07-10,SEO,120
2025-07-10,Google Ads,101
2025-07-10,Referral,148
2025-07-10,Direct,22
2025-07-11,SEO,90
2025-07-11,Google Ads,116
2025-07-11,Referral,104
2025-07-11,Direct,161
2025-07-12,SEO,195
2025-07-12,Google Ads,56
2025-07-12,Referral,150
2025-07-12,Direct,196
2025-07-13,SEO,120
2025-07-13,Google Ads,116
2025-07-13,Referral,32
2025-07-13,Direct,146
2025-07-14,SEO,69
2025-07-14,Google Ads,166
2025-07-14,Referral,173
2025-07-14,Direct,76
2025-07-15,SEO,185
2025-07-15,Google Ads,156
2025-07-15,Referral,65
2025-07-15,Direct,113
2025-07-16,SEO,105
2025-07-16,Google Ads,151
2025-07-16,Referral,144
2025-07-16,Direct,101
2025-07-17,SEO,197
2025-07-17,Google Ads,89
2025-07-17,Referral,112
2025-07-17,Direct,152
2025-07-18,SEO,181
2025-07-18,Google Ads,165
2025-07-18,Referral,46
2025-07-18,Direct,29
2025-07-19,SEO,149
2025-07-19,Google Ads,137
2025-07-19,Referral,169
2025-07-19,Direct,157
2025-07-20,SEO,78
2025-07-20,Google Ads,140
2025-07-20,Referral,110
2025-07-20,Direct,159
2025-07-21,SEO,82
2025-07-21,Google Ads,34
2025-07-21,Referral,185
2025-07-21,Direct,124
2025-07-22,SEO,25
2025-07-22,Google Ads,153
2025-07-22,Referral,57
2025-07-22,Direct,67
2025-07-23,SEO,34
2025-07-23,Google Ads,91
2025-07-23,Referral,48
2025-07-23,Direct,21
2025-07-24,SEO,94
2025-07-24,Google Ads,163
