AgeGroup,Gender,Location,Employment,Income,Education,LegalIssue,LegalFrequency,UrgencyScore,FindLawyerMethod,MainDifficulty,TimeToFindLawyer,Satisfaction,AppInterest,PreferredConsultation,PayLikelihood,ConsultBudget,SubscriptionInterest,SubscriptionBudget,TrustFactor,AITrust,NPS
35-44,Male,Ulaanbaatar,Student,1M-2M,Bachelor,Criminal,FewYears,2,OnlineSearch,SlowResponse,SameDay,5,Yes,InPerson,3,Free,Maybe,20k-50k,SecurePayments,Maybe,4
18-24,Male,Rural,Employee,1M-2M,Master,Labor,FewYears,3,OnlineSearch,SlowResponse,SameDay,4,No,Video,5,30k-50k,Maybe,20k-50k,VerifiedLawyers,Maybe,4
18-24,Male,Ulaanbaatar,Employee,1M-2M,Master,Business,Once,2,OnlineSearch,SlowResponse,SameDay,1,Maybe,Chat,1,Free,Yes,<20k,Reviews,No,7
25-34,Female,Ulaanbaatar,Student,2M-4M,Bachelor,Business,Once,2,SocialMedia,SlowResponse,<1hr,2,Maybe,Chat,4,100k+,Yes,<20k,SecurePayments,Maybe,1
35-44,Female,Other City,Business Owner,<1M,HighSchool,Labor,Once,1,LawFirm,ComplexProcess,SameDay,2,Yes,Chat,1,10k-30k,Maybe,20k-50k,SecurePayments,Yes,3
25-34,Female,Ulaanbaatar,Unemployed,<1M,HighSchool,Labor,Once,3,LawFirm,TrustIssue,SameDay,2,Yes,Phone,3,50k-100k,Maybe,<20k,SecurePayments,Maybe,8
55+,Female,Ulaanbaatar,Student,<1M,Bachelor,Business,FewYears,2,GovAid,ComplexProcess,SameDay,2,Yes,Chat,4,50k-100k,No,<20k,TransparentPricing,Maybe,8
35-44,Male,Ulaanbaatar,Business Owner,1M-2M,Doctorate,Divorce,Yearly,1,LawFirm,ComplexProcess,SameDay,1,Maybe,InPerson,3,10k-30k,Maybe,50k-100k,VerifiedLawyers,Maybe,4
25-34,Female,Ulaanbaatar,Student,1M-2M,Doctorate,Business,FewYears,3,PersonalContact,TrustIssue,Week+,3,Yes,InPerson,4,Free,Yes,100k+,TransparentPricing,Maybe,10
25-34,Male,Ulaanbaatar,Employee,6M+,Bachelor,Immigration,Yearly,5,PersonalContact,SlowResponse,SeveralDays,1,Yes,Video,5,50k-100k,No,50k-100k,TransparentPricing,Yes,8
25-34,Male,Other City,Student,<1M,Bachelor,Other,Once,5,PersonalContact,SlowResponse,SeveralDays,1,No,Chat,5,50k-100k,No,<20k,GovPartnership,Maybe,1
35-44,Male,Ulaanbaatar,Student,1M-2M,Bachelor,Divorce,FewYears,5,SocialMedia,SlowResponse,SeveralDays,1,Yes,Chat,3,Free,No,20k-50k,TransparentPricing,Maybe,3
25-34,Female,Ulaanbaatar,Employee,4M-6M,Bachelor,Immigration,Yearly,3,OnlineSearch,SlowResponse,Week+,1,Yes,Phone,5,30k-50k,Maybe,<20k,Reviews,No,10
18-24,Female,Ulaanbaatar,Employee,2M-4M,HighSchool,Immigration,FewYears,1,OnlineSearch,SlowResponse,SeveralDays,4,Maybe,InPerson,3,30k-50k,Maybe,50k-100k,TransparentPricing,Maybe,2
25-34,Female,Rural,Student,<1M,Master,Immigration,Once,5,SocialMedia,TrustIssue,SameDay,3,No,Video,4,50k-100k,Maybe,20k-50k,TransparentPricing,Maybe,2
35-44,Female,Ulaanbaatar,Freelancer,1M-2M,HighSchool,Divorce,Once,1,PersonalContact,TrustIssue,SameDay,3,Yes,Chat,4,30k-50k,Yes,<20k,GovPartnership,No,1
18-24,Female,Ulaanbaatar,Student,2M-4M,HighSchool,Other,Once,5,PersonalContact,SlowResponse,SeveralDays,4,Yes,Phone,1,50k-100k,Maybe,50k-100k,GovPartnership,Maybe,5
18-24,Male,Ulaanbaatar,Business Owner,<1M,HighSchool,Business,SeveralPerYear,2,OnlineSearch,TrustIssue,SeveralDays,1,Yes,Phone,2,50k-100k,No,100k+,TransparentPricing,No,6
25-34,Female,Ulaanbaatar,Employee,6M+,HighSchool,Business,Once,2,PersonalContact,TrustIssue,SeveralDays,3,Yes,InPerson,2,10k-30k,Maybe,<20k,TransparentPricing,Maybe,9
25-34,Female,Ulaanbaatar,Employee,1M-2M,Bachelor,Divorce,FewYears,3,LawFirm,TrustIssue,SeveralDays,5,Maybe,InPerson,1,100k+,Maybe,<20k,VerifiedLawyers,No,3
25-34,Female,Other City,Freelancer,1M-2M,HighSchool,Divorce,Once,5,PersonalContact,Transparency,<1hr,3,Maybe,InPerson,1,50k-100k,No,<20k,GovPartnership,Maybe,8
45-54,Male,Ulaanbaatar,Student,<1M,HighSchool,Property,Once,4,SocialMedia,Transparency,SeveralDays,2,Maybe,Phone,2,50k-100k,Yes,20k-50k,SecurePayments,Maybe,7
35-44,Male,Other City,Student,<1M,Bachelor,Property,Once,5,PersonalContact,HighCost,Week+,2,Maybe,Video,3,100k+,Maybe,<20k,VerifiedLawyers,Maybe,4
25-34,Female,Rural,Employee,1M-2M,Bachelor,Business,FewYears,5,SocialMedia,ComplexProcess,SameDay,2,Yes,InPerson,4,30k-50k,Maybe,20k-50k,GovPartnership,Maybe,3
35-44,Female,Ulaanbaatar,Student,<1M,Bachelor,Divorce,FewYears,2,LawFirm,HighCost,SeveralDays,4,Yes,Video,5,50k-100k,Yes,50k-100k,VerifiedLawyers,Maybe,5
25-34,Female,Ulaanbaatar,Business Owner,1M-2M,Master,Other,FewYears,4,OnlineSearch,Transparency,SeveralDays,1,Yes,Video,3,10k-30k,Maybe,100k+,Reviews,Maybe,3
25-34,Male,Ulaanbaatar,Student,1M-2M,Bachelor,Property,Yearly,3,LawFirm,SlowResponse,SameDay,5,Yes,Video,4,30k-50k,Yes,<20k,Reviews,Maybe,1
18-24,Male,Ulaanbaatar,Employee,2M-4M,HighSchool,Business,Once,3,SocialMedia,HighCost,<1hr,2,Maybe,Chat,3,30k-50k,Maybe,<20k,TransparentPricing,No,1
18-24,Male,Ulaanbaatar,Student,4M-6M,Bachelor,Criminal,Once,2,LawFirm,ComplexProcess,Week+,1,Yes,Chat,5,10k-30k,No,20k-50k,SecurePayments,No,6
25-34,Female,Rural,Student,1M-2M,HighSchool,Other,Once,1,PersonalContact,Transparency,<1hr,5,Yes,Chat,4,Free,No,100k+,TransparentPricing,Maybe,0
18-24,Female,Other City,Student,2M-4M,Master,Divorce,FewYears,2,PersonalContact,SlowResponse,<1hr,2,Maybe,Phone,1,50k-100k,No,20k-50k,VerifiedLawyers,Yes,9
25-34,Male,Ulaanbaatar,Employee,6M+,Master,Property,FewYears,1,PersonalContact,ComplexProcess,<1hr,5,No,Chat,1,100k+,No,50k-100k,GovPartnership,No,5
25-34,Female,Ulaanbaatar,Employee,6M+,Master,Property,FewYears,2,OnlineSearch,SlowResponse,SeveralDays,5,Maybe,Video,4,10k-30k,No,<20k,TransparentPricing,No,2
25-34,Male,Ulaanbaatar,Employee,<1M,Master,Property,FewYears,5,OnlineSearch,HighCost,SeveralDays,3,Yes,Phone,2,30k-50k,No,<20k,Reviews,No,9
25-34,Male,Ulaanbaatar,Employee,1M-2M,Bachelor,Other,SeveralPerYear,3,SocialMedia,ComplexProcess,SameDay,4,Yes,InPerson,2,30k-50k,No,<20k,TransparentPricing,Yes,1
18-24,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Business,FewYears,5,LawFirm,SlowResponse,Week+,5,Maybe,Chat,4,Free,Maybe,50k-100k,GovPartnership,Yes,5
25-34,Male,Rural,Employee,<1M,Bachelor,Business,Once,5,OnlineSearch,TrustIssue,SameDay,4,Yes,Chat,5,50k-100k,Yes,50k-100k,TransparentPricing,Maybe,10
45-54,Male,Ulaanbaatar,Employee,1M-2M,Bachelor,Divorce,Once,4,PersonalContact,ComplexProcess,SameDay,1,Maybe,InPerson,2,10k-30k,Maybe,<20k,Reviews,Maybe,7
55+,Female,Ulaanbaatar,Employee,4M-6M,Master,Divorce,Once,5,SocialMedia,SlowResponse,SeveralDays,4,Maybe,Video,4,10k-30k,Maybe,<20k,TransparentPricing,No,8
25-34,Female,Ulaanbaatar,Student,4M-6M,Bachelor,Other,Once,5,OnlineSearch,TrustIssue,Week+,3,Yes,Phone,3,10k-30k,Maybe,20k-50k,GovPartnership,Yes,2
25-34,Male,Other City,Business Owner,<1M,Bachelor,Divorce,Once,4,PersonalContact,HighCost,Week+,2,Maybe,Chat,2,30k-50k,Maybe,<20k,TransparentPricing,Yes,9
18-24,Female,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Property,SeveralPerYear,2,PersonalContact,HighCost,SameDay,2,Maybe,Chat,4,50k-100k,No,100k+,VerifiedLawyers,Yes,5
18-24,Male,Rural,Student,2M-4M,Bachelor,Other,Yearly,4,OnlineSearch,TrustIssue,SeveralDays,2,Yes,Video,4,30k-50k,Maybe,<20k,TransparentPricing,Maybe,6
25-34,Male,Rural,Business Owner,<1M,Master,Divorce,FewYears,4,OnlineSearch,HighCost,Week+,2,Yes,Phone,5,30k-50k,Maybe,100k+,TransparentPricing,Maybe,7
45-54,Female,Ulaanbaatar,Employee,2M-4M,Doctorate,Divorce,FewYears,5,LawFirm,HighCost,SeveralDays,5,Yes,InPerson,1,10k-30k,Maybe,<20k,GovPartnership,Maybe,8
18-24,Female,Ulaanbaatar,Unemployed,2M-4M,Bachelor,Divorce,FewYears,1,OnlineSearch,HighCost,<1hr,1,Maybe,InPerson,4,10k-30k,Maybe,20k-50k,VerifiedLawyers,Maybe,3
25-34,Male,Rural,Business Owner,<1M,HighSchool,Business,Once,4,PersonalContact,SlowResponse,SeveralDays,3,Maybe,Chat,4,10k-30k,No,50k-100k,TransparentPricing,Maybe,5
55+,Male,Ulaanbaatar,Unemployed,2M-4M,Master,Business,FewYears,3,PersonalContact,SlowResponse,SeveralDays,4,No,Phone,3,10k-30k,Maybe,20k-50k,GovPartnership,No,5
25-34,Female,Ulaanbaatar,Business Owner,Unknown,Bachelor,Labor,FewYears,2,PersonalContact,SlowResponse,SameDay,2,Yes,Chat,3,30k-50k,Yes,20k-50k,VerifiedLawyers,Yes,10
25-34,Male,Ulaanbaatar,Student,1M-2M,Bachelor,Business,FewYears,3,PersonalContact,HighCost,SeveralDays,5,No,Chat,2,30k-50k,No,50k-100k,SecurePayments,Maybe,2
18-24,Female,Ulaanbaatar,Freelancer,<1M,Master,Immigration,FewYears,3,SocialMedia,Transparency,<1hr,2,Maybe,Video,1,Free,Yes,20k-50k,SecurePayments,Maybe,9
35-44,Female,Other City,Student,6M+,Bachelor,Immigration,Once,2,PersonalContact,Transparency,SameDay,2,No,Phone,2,10k-30k,Maybe,50k-100k,TransparentPricing,No,4
25-34,Female,Ulaanbaatar,Business Owner,1M-2M,Bachelor,Business,Once,4,PersonalContact,TrustIssue,SeveralDays,3,Yes,InPerson,2,30k-50k,Maybe,50k-100k,Reviews,No,5
25-34,Male,Ulaanbaatar,Employee,2M-4M,HighSchool,Business,Yearly,1,PersonalContact,TrustIssue,SameDay,4,Maybe,InPerson,1,10k-30k,Maybe,20k-50k,VerifiedLawyers,Maybe,2
25-34,Male,Rural,Freelancer,4M-6M,Master,Property,Once,5,LawFirm,TrustIssue,SeveralDays,1,Maybe,InPerson,1,10k-30k,Maybe,50k-100k,GovPartnership,Maybe,1
18-24,Male,Ulaanbaatar,Student,2M-4M,Master,Divorce,Once,4,GovAid,TrustIssue,<1hr,3,Maybe,Phone,4,30k-50k,Maybe,20k-50k,VerifiedLawyers,No,2
25-34,Female,Ulaanbaatar,Business Owner,<1M,Master,Immigration,SeveralPerYear,1,OnlineSearch,SlowResponse,SeveralDays,1,No,Chat,4,50k-100k,Maybe,20k-50k,SecurePayments,No,6
35-44,Male,Ulaanbaatar,Employee,6M+,HighSchool,Divorce,Yearly,4,PersonalContact,ComplexProcess,SeveralDays,2,No,Video,5,30k-50k,Maybe,20k-50k,TransparentPricing,Yes,6
45-54,Female,Rural,Employee,4M-6M,Bachelor,Labor,Once,1,LawFirm,SlowResponse,<1hr,2,Yes,Chat,3,30k-50k,Yes,50k-100k,TransparentPricing,Maybe,6
25-34,Female,Ulaanbaatar,Student,2M-4M,Bachelor,Business,FewYears,5,LawFirm,ComplexProcess,Week+,2,Yes,InPerson,5,100k+,Maybe,<20k,VerifiedLawyers,No,10
35-44,Male,Rural,Employee,1M-2M,HighSchool,Divorce,FewYears,2,PersonalContact,TrustIssue,SameDay,4,Yes,InPerson,5,10k-30k,Yes,<20k,GovPartnership,Yes,5
25-34,Female,Other City,Student,1M-2M,HighSchool,Business,Once,1,SocialMedia,ComplexProcess,SeveralDays,4,Yes,Chat,2,30k-50k,Maybe,20k-50k,TransparentPricing,Maybe,5
25-34,Male,Rural,Business Owner,6M+,Bachelor,Property,Once,5,PersonalContact,TrustIssue,<1hr,3,Yes,Chat,5,30k-50k,Maybe,50k-100k,GovPartnership,No,3
35-44,Male,Ulaanbaatar,Employee,1M-2M,Bachelor,Immigration,Once,2,PersonalContact,HighCost,SameDay,2,Yes,Chat,4,100k+,No,50k-100k,GovPartnership,Maybe,5
45-54,Male,Ulaanbaatar,Business Owner,1M-2M,Master,Business,FewYears,2,LawFirm,Transparency,<1hr,3,Maybe,Chat,4,100k+,Yes,<20k,GovPartnership,Yes,1
18-24,Female,Other City,Employee,2M-4M,Bachelor,Business,Once,5,GovAid,Transparency,SeveralDays,2,Maybe,Phone,5,10k-30k,No,<20k,TransparentPricing,No,10
35-44,Female,Ulaanbaatar,Business Owner,1M-2M,Bachelor,Other,Yearly,1,GovAid,ComplexProcess,SeveralDays,5,Yes,Phone,1,30k-50k,No,50k-100k,Reviews,Maybe,2
18-24,Female,Rural,Business Owner,1M-2M,Bachelor,Business,FewYears,5,PersonalContact,SlowResponse,SeveralDays,4,Yes,Phone,2,100k+,No,<20k,TransparentPricing,Maybe,5
