question_id,user_id,category,question_date,response_time_minutes,lawyer_id
1,1871,Contracts,2025-08-23,44.94,4
2,2342,Real Estate,2025-12-14,5.77,40
3,33,Divorce,2025-10-02,50.2,41
4,18,Real Estate,2025-03-18,11.23,22
5,872,Criminal,2025-10-24,89.04,79
6,672,Divorce,2025-04-30,6.81,4
7,2016,Criminal,2025-02-06,7.62,23
8,1997,Immigration,2025-01-19,10.78,4
9,1139,Labor,2025-03-14,49.01,68
10,208,Criminal,2025-09-08,37.18,18
11,161,Divorce,2025-12-01,51.89,1
12,319,Immigration,2025-01-10,39.53,32
13,462,Labor,2025-08-30,23.78,21
14,1583,Immigration,2025-11-13,59.52,38
15,1986,Divorce,2025-01-24,75.44,26
16,2957,Labor,2025-05-05,9.88,41
17,2100,Contracts,2025-12-26,57.16,49
18,52,Divorce,2025-11-29,56.5,41
19,2666,Contracts,2025-03-08,11.48,59
20,610,Immigration,2025-01-08,14.71,4
21,1745,Contracts,2025-03-30,46.89,13
22,2179,Criminal,2025-11-20,16.53,61
23,964,Real Estate,2025-01-26,28.52,51
24,223,Labor,2025-06-07,30.08,35
25,2363,Divorce,2025-02-19,10.65,65
26,837,Immigration,2025-08-22,10.68,49
27,1150,Contracts,2025-11-09,9.04,49
28,2560,Immigration,2025-03-29,37.85,14
29,2178,Criminal,2025-10-30,6.8,37
30,2756,Divorce,2025-02-02,49.81,30
31,1068,Immigration,2025-02-24,15.86,14
32,1830,Criminal,2025-02-28,28.28,75
33,188,Divorce,2025-09-12,8.64,27
34,244,Criminal,2025-11-01,90.26,62
35,923,Criminal,2025-11-12,40.09,3
36,2651,Real Estate,2025-04-23,38.92,70
37,1918,Contracts,2025-02-02,41.72,39
38,1551,Labor,2025-04-14,36.54,19
39,2983,Labor,2025-08-07,9.87,76
40,2045,Divorce,2025-06-22,12.41,39
41,2982,Divorce,2025-12-14,23.4,10
42,1718,Immigration,2025-07-25,37.56,47
43,319,Immigration,2025-06-16,44.89,23
44,1598,Real Estate,2025-03-03,13.39,59
45,1614,Divorce,2025-12-17,21.77,20
46,2322,Labor,2025-10-22,79.03,45
47,763,Contracts,2025-10-07,18.8,44
48,2973,Real Estate,2025-03-12,51.33,18
49,2119,Divorce,2025-06-14,5.87,48
50,1977,Real Estate,2025-04-20,19.26,75
51,2022,Real Estate,2025-01-24,57.4,1
52,2072,Real Estate,2025-10-31,66.3,32
53,1318,Divorce,2025-03-30,34.18,64
54,2182,Criminal,2025-06-21,3.0,7
55,2806,Divorce,2025-02-02,2.69,71
56,2986,Divorce,2025-03-03,32.2,46
57,202,Immigration,2025-05-21,34.45,24
58,1558,Divorce,2025-03-14,95.84,69
59,2209,Divorce,2025-08-01,13.74,36
60,1070,Divorce,2025-03-28,8.36,67
61,498,Real Estate,2025-12-23,22.43,50
62,1462,Real Estate,2025-07-09,17.89,59
63,105,Divorce,2025-10-11,40.77,58
64,947,Immigration,2025-03-26,45.92,46
65,1109,Contracts,2025-08-13,21.85,70
66,1848,Immigration,2025-05-05,44.31,23
67,1578,Contracts,2025-10-25,10.54,12
68,2573,Criminal,2025-01-21,30.59,28
69,2870,Contracts,2025-03-10,1.43,58
70,2956,Labor,2025-02-21,13.51,61
71,984,Labor,2025-11-20,38.14,55
72,2339,Contracts,2025-11-10,76.56,34
73,2387,Divorce,2025-07-12,11.92,18
74,2061,Contracts,2025-03-22,31.24,35
75,534,Labor,2025-01-09,11.48,48
76,552,Contracts,2025-09-07,18.36,37
77,1956,Real Estate,2025-02-11,35.75,41
78,1500,Criminal,2025-01-04,9.59,6
79,127,Real Estate,2025-01-04,18.33,80
80,2823,Immigration,2025-04-02,28.68,39
81,1758,Real Estate,2025-02-15,30.28,4
82,1013,Criminal,2025-12-28,26.4,16
83,823,Divorce,2025-11-30,28.68,52
84,971,Criminal,2025-10-31,14.2,19
85,2270,Divorce,2025-05-26,12.42,17
86,1615,Labor,2025-08-02,9.88,45
87,2445,Contracts,2025-12-22,11.19,2
88,99,Labor,2025-09-01,10.32,2
89,1507,Labor,2025-12-21,26.76,55
90,1259,Labor,2025-03-06,11.47,4
