consultation_id,user_id,lawyer_id,rating,customer_satisfaction,complaint
1,33,41,4.28,4.03,0
2,1997,4,4.69,4.65,0
3,1986,26,4.19,4.29,0
4,223,35,3.94,4.69,0
5,2178,37,4.04,4.32,0
6,188,27,2.82,4.75,0
7,2651,70,4.41,4.71,0
8,1551,19,4.18,4.77,0
9,763,44,4.29,3.84,0
10,2119,48,4.12,4.61,0
11,2072,32,4.42,4.2,0
12,2182,7,5.0,4.12,0
13,2573,28,4.73,3.92,0
14,1758,4,3.96,4.4,0
15,1013,16,5.0,3.03,0
16,1615,45,5.0,4.41,0
17,236,46,4.38,4.4,0
18,2632,17,4.35,4.84,1
19,1353,50,4.81,4.28,1
20,1719,19,4.73,5.0,0
21,1178,28,4.19,3.96,0
22,2586,28,4.15,3.89,0
23,2326,80,4.18,5.0,0
24,76,45,5.0,3.86,0
25,673,12,4.23,2.87,0
26,2336,48,4.4,5.0,0
27,199,42,4.9,5.0,0
28,1365,13,5.0,4.11,0
29,1730,42,3.95,4.16,0
30,737,4,3.78,3.9,0
31,799,19,4.57,5.0,0
32,2282,29,4.45,5.0,0
33,1938,19,4.78,3.87,0
34,2798,70,3.68,4.29,0
35,665,43,4.23,5.0,0
36,2143,17,4.51,5.0,0
37,1541,10,3.91,4.45,0
38,28,10,4.65,4.55,0
39,2632,47,5.0,4.23,0
40,308,9,3.92,3.91,0
41,134,46,4.8,4.64,0
42,2834,68,4.34,5.0,0
43,2543,4,4.09,3.75,0
44,2686,59,4.17,4.41,0
45,1041,25,4.86,4.38,0
46,895,62,4.19,3.48,0
47,1328,56,4.21,4.3,0
48,2795,58,4.91,4.19,0
49,2620,53,4.8,4.03,0
50,87,57,4.17,5.0,0
51,393,32,5.0,4.04,0
52,199,55,4.84,3.75,0
53,2837,64,5.0,4.7,0
54,1965,45,5.0,4.46,0
55,1019,32,4.12,4.34,1
56,2586,44,4.06,4.71,0
57,2178,13,3.49,4.21,0
58,1692,4,5.0,4.1,0
59,243,72,3.58,3.83,0
60,2306,80,4.54,4.8,0
61,2304,40,3.83,5.0,0
62,178,74,4.34,5.0,0
63,1167,36,4.39,4.69,0
64,1101,80,5.0,5.0,0
65,931,15,4.72,3.9,0
66,337,64,5.0,3.76,0
67,1836,44,4.5,3.57,0
68,1807,16,4.55,4.29,0
69,587,66,3.86,4.08,1
70,487,24,4.06,5.0,0
71,1400,57,3.68,4.04,0
72,1871,35,4.38,4.09,0
73,2009,6,4.01,4.78,0
74,2137,18,4.2,4.95,0
75,2441,44,3.76,4.6,0
76,432,55,4.01,4.75,0
77,1630,1,4.41,4.76,0
78,1872,72,3.41,5.0,0
79,2202,30,5.0,3.17,0
80,1704,53,5.0,3.9,0
81,659,33,5.0,5.0,0
82,2781,6,3.91,4.24,0
83,2432,33,4.15,4.73,0
84,2709,18,5.0,2.8,0
85,1339,44,5.0,3.83,0
86,659,13,4.17,3.16,0
87,184,22,3.82,3.85,0
88,1204,54,5.0,4.04,0
89,1324,2,4.04,4.42,0
90,2145,57,4.72,5.0,0
91,336,34,4.7,4.68,0
92,1465,44,4.24,4.62,0
93,623,69,3.76,3.96,0
94,2804,20,4.94,3.53,0
95,943,15,3.73,4.15,0
96,1165,35,3.65,3.73,0
97,1934,57,4.42,3.67,0
98,887,66,3.72,3.37,0
99,298,14,4.58,4.26,0
100,909,76,5.0,4.32,0
101,1366,22,4.92,4.96,0
102,2014,10,5.0,4.98,0
103,1653,9,4.8,4.6,0
104,2308,30,4.25,5.0,0
105,198,20,3.74,3.85,0
106,132,72,3.82,4.01,0
107,1893,51,4.75,4.09,0
108,1543,25,4.77,4.06,0
109,1490,23,4.05,3.24,0
110,2001,49,4.3,3.86,0
111,2075,8,4.74,4.47,0
112,69,56,4.18,4.89,0
113,557,8,5.0,3.46,0
114,1736,47,4.55,3.52,0
115,1015,12,4.77,3.64,0
116,330,5,4.36,4.51,0
117,341,5,4.61,3.67,0
118,2633,15,3.64,3.4,0
119,1990,45,4.38,3.39,0
120,2766,25,4.02,4.08,0
121,612,56,5.0,4.23,0
122,1690,74,4.48,4.72,0
123,717,1,4.31,4.64,0
124,6,46,4.6,4.88,0
125,1723,67,4.56,4.22,0
126,2619,44,4.4,3.72,0
127,2116,4,4.74,4.4,0
128,964,24,4.69,3.44,0
129,2394,28,4.44,4.52,0
130,934,70,5.0,4.46,0
131,1384,40,3.6,4.97,0
132,1372,18,4.19,4.81,0
133,1461,47,4.2,4.55,0
134,176,37,4.39,3.19,0
135,2249,7,4.26,3.97,0
136,1831,52,4.13,4.61,0
137,1185,14,5.0,5.0,0
138,230,55,3.9,4.64,0
139,1634,57,4.64,3.43,0
140,1428,62,4.14,5.0,0
141,2641,16,4.59,4.29,0
142,332,42,5.0,4.54,0
143,867,44,2.81,4.59,0
144,375,33,3.99,3.85,0
145,2050,68,3.99,3.74,0
146,1822,76,4.32,4.39,0
147,1257,71,4.86,3.74,0
148,2235,46,5.0,3.9,0
149,1299,74,4.85,4.04,0
150,2358,67,4.33,3.14,0
151,207,5,4.14,4.64,0
152,2464,3,5.0,4.96,0
153,1023,15,3.66,4.57,0
154,1316,43,4.6,3.04,0
155,2702,23,5.0,4.48,0
156,432,55,4.25,4.9,0
157,2693,51,4.56,3.96,0
158,2470,57,3.73,4.42,0
159,1520,79,4.65,4.57,0
160,2843,52,4.43,3.73,0
161,903,39,4.67,3.71,0
162,1821,11,4.18,3.03,0
163,1318,56,3.84,3.89,0
