session_id,user_id,session_date,session_duration_sec,pages_viewed
1,2811,2025-11-25,522,5
2,1960,2025-09-09,1265,7
3,2028,2025-08-24,135,3
4,379,2025-03-28,133,8
5,713,2025-06-30,276,4
6,1373,2025-03-28,1203,7
7,225,2025-03-13,82,6
8,1738,2025-10-07,224,9
9,738,2025-09-08,296,4
10,236,2025-04-05,339,3
11,183,2025-10-05,271,6
12,712,2025-11-25,555,10
13,1893,2025-01-31,355,4
14,2492,2025-09-26,238,6
15,1889,2025-01-18,1013,4
16,623,2025-02-08,419,4
17,1260,2025-12-09,403,5
18,1151,2025-01-25,688,7
19,749,2025-01-04,230,3
20,2203,2025-07-31,931,5
21,2305,2025-03-12,446,4
22,2283,2025-11-19,281,2
23,2548,2025-04-29,816,4
24,2337,2025-02-04,425,5
25,510,2025-12-29,558,5
26,1576,2025-03-19,115,5
27,1824,2025-01-05,140,10
28,2757,2025-04-22,341,12
29,785,2025-09-16,352,5
30,2942,2025-08-22,708,5
31,2824,2025-07-11,175,3
32,2346,2025-01-31,848,6
33,137,2025-11-13,708,7
34,2424,2025-11-23,51,4
35,2135,2025-12-08,752,5
36,1778,2025-11-12,202,3
37,1223,2025-09-05,501,7
38,2485,2025-12-04,652,9
39,1334,2025-09-07,461,7
40,1778,2025-01-09,412,7
41,1305,2025-01-04,446,7
42,764,2025-09-30,289,6
43,702,2025-10-10,619,3
44,2990,2025-07-30,734,3
45,152,2025-01-07,254,2
46,1326,2025-01-09,623,6
47,1302,2025-09-29,255,4
48,1712,2025-05-21,291,7
49,1032,2025-10-02,141,4
50,807,2025-05-27,424,4
51,235,2025-01-09,386,7
52,2723,2025-09-15,299,9
53,561,2025-12-24,725,5
54,1326,2025-12-12,757,6
55,38,2025-08-09,422,5
56,1160,2025-04-02,374,7
57,2870,2025-02-24,931,4
58,421,2025-02-19,381,6
59,1243,2025-09-26,251,4
60,348,2025-03-18,325,8
61,1832,2025-05-04,396,5
62,1570,2025-04-09,511,7
63,2796,2025-11-14,217,7
64,1919,2025-09-27,248,4
65,2321,2025-05-10,602,5
66,1902,2025-07-01,196,12
67,2356,2025-05-17,563,8
68,1398,2025-07-23,330,4
69,2781,2025-02-10,132,3
70,1825,2025-07-11,406,5
71,2492,2025-07-27,387,12
72,1229,2025-08-24,689,8
73,405,2025-10-17,445,5
74,1722,2025-05-05,647,5
75,2901,2025-12-23,577,7
76,1221,2025-04-26,822,9
77,2826,2025-06-03,497,5
78,115,2025-12-17,307,8
79,1677,2025-02-11,716,10
80,65,2025-12-01,335,6
81,1300,2025-11-29,882,7
82,825,2025-01-17,447,3
83,2287,2025-02-17,392,5
84,2350,2025-07-27,681,5
85,1416,2025-07-14,142,9
86,969,2025-07-13,192,8
87,369,2025-10-10,178,10
88,233,2025-09-01,710,9
89,2243,2025-01-29,272,6
