user_id,signup_date,traffic_source,device,country
1,2025-11-24,SEO,Desktop,Mongolia
2,2025-02-27,Direct,Desktop,Mongolia
3,2025-01-13,Referral,Mobile,Mongolia
4,2025-05-21,Google Ads,Desktop,Mongolia
5,2025-05-06,SEO,Mobile,Mongolia
6,2025-04-25,SEO,Desktop,Mongolia
7,2025-03-13,SEO,Desktop,Mongolia
8,2025-02-22,Referral,Mobile,Mongolia
9,2025-12-13,Google Ads,Desktop,Mongolia
10,2025-10-07,Referral,Mobile,Mongolia
11,2025-02-14,SEO,Mobile,Mongolia
12,2025-10-30,Direct,Mobile,Mongolia
13,2025-08-05,Referral,Mobile,Mongolia
14,2025-01-17,SEO,Mobile,Mongolia
15,2025-01-16,SEO,Desktop,Mongolia
16,2025-02-17,SEO,Mobile,Mongolia
17,2025-04-22,SEO,Desktop,Mongolia
18,2025-04-30,Google Ads,Mobile,Mongolia
19,2025-09-16,SEO,Mobile,Mongolia
20,2025-11-05,SEO,Desktop,Mongolia
21,2025-01-14,Google Ads,Mobile,Mongolia
22,2025-10-15,SEO,Mobile,Mongolia
23,2025-04-12,SEO,Desktop,Mongolia
24,2025-11-29,SEO,Mobile,Mongolia
25,2025-12-26,SEO,Mobile,Mongolia
26,2025-10-07,Referral,Mobile,Mongolia
27,2025-08-03,SEO,Desktop,Mongolia
28,2025-04-23,Google Ads,Desktop,Mongolia
29,2025-08-18,Google Ads,Desktop,Mongolia
30,2025-10-29,SEO,Desktop,Mongolia
31,2025-05-23,Google Ads,Mobile,Mongolia
32,2025-01-04,SEO,Mobile,Mongolia
33,2025-03-23,SEO,Desktop,Mongolia
34,2025-12-24,Direct,Mobile,Mongolia
35,2025-08-05,Direct,Mobile,Mongolia
36,2025-06-24,Referral,Mobile,Mongolia
37,2025-05-23,SEO,Mobile,Mongolia
38,2025-03-21,SEO,Tablet,Mongolia
39,2025-04-21,Google Ads,Mobile,Mongolia
40,2025-06-22,SEO,Mobile,Mongolia
41,2025-02-22,SEO,Mobile,Mongolia
42,2025-02-17,SEO,Tablet,Mongolia
43,2025-07-14,SEO,Mobile,Mongolia
44,2025-02-19,Direct,Mobile,Mongolia
45,2025-07-03,SEO,Desktop,Mongolia
46,2025-06-26,Google Ads,Desktop,Mongolia
47,2025-11-06,SEO,Mobile,Mongolia
48,2025-05-16,Google Ads,Mobile,Mongolia
49,2025-01-23,Google Ads,Mobile,Mongolia
50,2025-08-24,SEO,Mobile,Mongolia
51,2025-10-02,Direct,Mobile,Mongolia
52,2025-03-05,Referral,Mobile,Mongolia
53,2025-07-13,Direct,Mobile,Mongolia
54,2025-02-10,Referral,Mobile,Mongolia
55,2025-10-10,Google Ads,Desktop,Mongolia
56,2025-05-31,Direct,Tablet,Mongolia
57,2025-11-18,SEO,Desktop,Mongolia
58,2025-11-13,SEO,Mobile,Mongolia
59,2025-07-05,SEO,Mobile,Mongolia
60,2025-10-23,SEO,Tablet,Mongolia
61,2025-04-09,SEO,Mobile,Mongolia
62,2025-12-27,SEO,Mobile,Mongolia
63,2025-02-05,Referral,Mobile,Mongolia
64,2025-01-24,SEO,Desktop,Mongolia
65,2025-12-05,SEO,Desktop,Mongolia
66,2025-04-27,Google Ads,Mobile,Mongolia
67,2025-05-29,SEO,Mobile,Mongolia
68,2025-02-10,Referral,Tablet,Mongolia
69,2025-04-30,SEO,Mobile,Mongolia
70,2025-02-21,Direct,Desktop,Mongolia
71,2025-07-14,Referral,Desktop,Mongolia
72,2025-05-23,SEO,Desktop,Mongolia
73,2025-08-21,SEO,Mobile,Mongolia
74,2025-11-22,Referral,Mobile,Mongolia
75,2025-07-06,Referral,Mobile,Mongolia
76,2025-03-25,Referral,Desktop,Mongolia
77,2025-07-09,Referral,Desktop,Mongolia
78,2025-07-01,SEO,Mobile,Mongolia
79,2025-04-18,SEO,Mobile,Mongolia
80,2025-12-10,SEO,Desktop,Mongolia
81,2025-05-17,Referral,Desktop,Mongolia
82,2025-12-26,Google Ads,Desktop,Mongolia
83,2025-12-16,SEO,Mobile,Mongolia
84,2025-11-28,SEO,Mobile,Mongolia
85,2025-02-06,SEO,Desktop,Mongolia
86,2025-11-08,SEO,Desktop,Mongolia
87,2025-11-22,Referral,Mobile,Mongolia
88,2025-03-29,Google Ads,Mobile,Mongolia
89,2025-10-01,Referral,Mobile,Mongolia
90,2025-05-06,SEO,Mobile,Mongolia
91,2025-03-25,SEO,Mobile,Mongolia
92,2025-08-25,Referral,Tablet,Mongolia
93,2025-07-14,Referral,Mobile,Mongolia
94,2025-05-19,Google Ads,Desktop,Mongolia
95,2025-11-24,Referral,Mobile,Mongolia
96,2025-12-19,SEO,Desktop,Mongolia
97,2025-10-13,Google Ads,Tablet,Mongolia
98,2025-04-23,SEO,Mobile,Mongolia
99,2025-12-17,SEO,Mobile,Mongolia
100,2025-06-16,SEO,Mobile,Mongolia
101,2025-01-29,SEO,Mobile,Mongolia
102,2025-04-28,Google Ads,Desktop,Mongolia
103,2025-01-17,SEO,Desktop,Mongolia
104,2025-06-11,Google Ads,Mobile,Mongolia
105,2025-07-25,Direct,Mobile,Mongolia
106,2025-05-18,SEO,Mobile,Mongolia
107,2025-02-03,SEO,Desktop,Mongolia
108,2025-04-19,Referral,Mobile,Mongolia
109,2025-10-18,SEO,Mobile,Mongolia
110,2025-06-11,SEO,Desktop,Mongolia
